game,score, train_time, len_buff, timestamp
1,357.0,1.8918,1564,30/04/2022 02:28:38
2,651.0,3.1784,4224,30/04/2022 02:28:42
3,273.0,1.7357,5714,30/04/2022 02:28:44
4,567.0,2.9092,8231,30/04/2022 02:28:48
5,651.0,2.4671,10331,30/04/2022 02:28:50
6,483.0,52.7494,12036,30/04/2022 02:29:43
7,525.0,67.8928,14081,30/04/2022 02:30:52
8,651.0,119.1934,17056,30/04/2022 02:32:52
9,462.0,114.9333,19522,30/04/2022 02:34:47
10,525.0,127.699,22005,30/04/2022 02:36:55
11,714.0,141.4954,24321,30/04/2022 02:39:17
12,378.0,123.0954,26246,30/04/2022 02:41:21
13,651.0,186.387,28995,30/04/2022 02:44:28
14,651.0,169.1388,31417,30/04/2022 02:47:17
15,483.0,149.01,33506,30/04/2022 02:49:47
16,462.0,223.0779,35937,30/04/2022 02:53:31
17,693.0,223.8365,38308,30/04/2022 02:57:15
18,399.0,238.0766,40733,30/04/2022 03:01:14
19,483.0,201.637,42790,30/04/2022 03:04:36
20,693.0,392.8506,46401,30/04/2022 03:11:09
21,546.0,250.6815,48703,30/04/2022 03:15:21
22,651.0,350.7176,51806,30/04/2022 03:21:12
23,546.0,227.6577,53903,30/04/2022 03:25:01
24,651.0,316.4762,56744,30/04/2022 03:30:18
25,651.0,276.7441,59130,30/04/2022 03:34:55
26,399.0,219.6874,60919,30/04/2022 03:38:35
27,651.0,546.1793,64132,30/04/2022 03:47:42
28,378.0,223.9808,65837,30/04/2022 03:51:27
29,483.0,300.9305,67764,30/04/2022 03:56:28
30,231.0,247.8795,69313,30/04/2022 04:00:37
31,672.0,509.8041,72238,30/04/2022 04:09:07
32,714.0,563.7761,75266,30/04/2022 04:18:32
33,525.0,372.7162,77285,30/04/2022 04:24:45
34,273.0,154.8961,78185,30/04/2022 04:27:21
35,546.0,444.6166,80636,30/04/2022 04:34:46
36,651.0,577.0951,83768,30/04/2022 04:44:24
37,378.0,275.7032,85361,30/04/2022 04:49:00
38,546.0,895.2821,87841,30/04/2022 05:03:56
39,441.0,382.9144,90013,30/04/2022 05:10:19
40,105.0,106.3057,90609,30/04/2022 05:12:06
41,294.0,278.891,92186,30/04/2022 05:16:46
42,441.0,361.1527,94140,30/04/2022 05:22:48
43,609.0,4459.1131,96397,30/04/2022 06:37:07
