game,score, train_time, len_buff
1,420.0,4.254,1893
2,630.0,6.8258,4534
3,546.0,83.9917,6499
4,630.0,159.1941,9488
5,630.0,244.2614,12935
6,651.0,177.6912,15604
7,609.0,200.3173,18184
8,630.0,192.3614,20793
9,651.0,170.685,23289
10,357.0,89.8791,24617
11,630.0,275.7868,27988
12,462.0,212.615,30300
13,294.0,141.1893,31786
14,546.0,236.544,34138
15,399.0,160.5043,35814
16,420.0,227.3435,38080
17,630.0,338.5265,41209
18,420.0,185.3593,42856
19,651.0,393.2815,46210
20,630.0,406.2377,49541
21,651.0,342.1465,52239
22,630.0,331.6783,54908
23,651.0,390.8773,57259
24,651.0,552.2009,60525
25,693.0,26283.303,64120
26,630.0,6768.9671,66374
27,630.0,600.3889,69635
28,651.0,612.2559,72925
29,672.0,672.6469,76410
30,630.0,445.1006,78864
31,399.0,292.2069,80569
32,462.0,464.3262,83106
33,609.0,40682.1187,86178
